ID,Airport,2018,2016,2014,2012,2010,2008,2006,Latitude,Longitude
1,Hartsfield–Jackson Atlanta International Airport,107394029,104171935,96178899,94956643,89331622,90039280,84846639,33.6407,-84.4277
2,Beijing Capital International Airport,100983290,94393454,86128270,81929359,73948113,55937289,48654770,40.0799,116.6031
3,Dubai International Airport,89149387,83654250,70475636,57684550,47180628,37441440,28360723,25.2532,55.3657
4,Los Angeles International Airport,87534384,80921527,70663265,63688121,59070127,59497539,61041066,33.9416,-118.4085
5,Tokyo Haneda Airport,87131973,79699762,72826565,67788722,64211074,66754829,65810672,35.5494,139.7798
6,O'Hare International Airport,83339186,78327479,69999010,66834931,66774738,69353876,77028134,41.9742,-87.9073
7,London Heathrow Airport,80126320,75715474,73408489,70037417,65884143,67056379,67530197,51.47,-0.4543
8,Hong Kong International Airport,74517402,70314462,63121786,56064248,50348960,47857746,43857908,22.308,113.9185
9,Shanghai Pudong International Airport,74006331,66002414,51687894,44880164,40578621,28230017,26789125,31.1443,121.8083
10,Paris-Charles de Gaulle Airport,72229723,65933145,63813756,61611934,58167062,60874681,56849567,49.0097,2.5479
11,Amsterdam Airport Schiphol,71053157,63625534,54978023,51035590,45211749,47430019,46065719,52.3105,4.7683
12,Indira Gandhi International Airport,69900938,55631385,39752819,34211608,38531607,23181090,16500000,28.5562,77.1
13,Guangzhou Baiyun International Airport,69769497,59732147,54780346,48548430,40975673,33444814,26222037,29.3959,113.308
14,Frankfurt Airport,69510269,60786937,59566132,57520001,53009221,53467450,52810683,50.0379,8.5622
15,Dallas/Fort Worth International Airport,69112607,65670697,63554402,58591842,56906610,57093187,60226138,32.8998,-97.0403
16,Seoul Incheon International Airport,68350784,57849814,45662322,39154375,33605579,30166816,28360723,37.4602,126.4407
17,Istanbul Atatürk Airport,68192683,60248741,56767108,44992420,32165817,26364017,23261878,40.983,28.8104
18,Soekarno–Hatta International Airport,66908159,54969536,57221169,57730732,44355998,32172114,30583957,-6.1275,106.6537
19,Singapore Changi Airport,65628000,58698000,54093000,51181804,42038777,37694824,35033083,1.3644,103.9915
20,Denver International Airport,64494613,58266515,53472514,53156278,52209377,51245334,47325016,39.8561,-104.6737
